,Tickers,day_of
0,CCLP,1998-02-27
1,ITT,1975-07-23
2,JJSF,1981-05-15
3,JJSF,1981-02-26
4,GSQD,1981-06-22
5,GSQD,1983-06-22
6,PCAR,1990-06-20
7,QCOM,2001-06-06
8,QCOM,2001-06-06
9,QCOM,2000-08-08
10,EEH,2004-04-20
11,JJSF,1990-05-15
12,JJSF,1993-06-24
13,JJSF,1994-06-20
14,ITT,1984-06-25
15,MMM,2002-04-17
16,JJSF,1995-06-07
17,MMM,1998-07-01
18,MMM,2001-05-24
19,DDD,2002-11-08
20,UVE,2000-11-01
21,USAC,1993-01-12
22,USAC,1995-05-30
23,USAC,1995-05-30
24,ITT,1980-05-20
25,HVBC,1997-07-01
26,HVBC,1998-11-18
27,ITT,1976-03-11
28,STE,1997-06-11
29,STE,1997-04-17
30,STE,1997-06-11
31,MMM,2002-10-14
32,LYTS,1996-05-24
33,LYTS,1996-05-24
34,ECOL,1988-09-06
35,ECOL,1982-02-23
36,FMC,1992-06-16
37,ITT,1983-03-09
38,FMC,1990-10-22
39,FMC,1990-08-27
40,FMC,1991-11-25
41,DWPP,2001-10-29
42,DWPP,2001-10-26
43,DWPP,2006-09-29
44,DWPP,2007-10-30
45,DWPP,2001-10-26
46,QCOM,2004-09-01
47,QCOM,2004-03-01
48,QCOM,2004-12-22
49,QCOM,2004-12-22
50,QCOM,2004-12-22
51,ITT,1976-01-07
52,ITT,1976-01-07
53,ITT,1975-10-28
54,CNHI,2007-04-30
55,NVDA,2005-07-29
56,E,2001-04-13
57,SCPE,2006-06-06
58,SCPE,2007-09-14
59,ITT,1999-12-21
60,ITT,2001-02-08
61,ITT,2000-11-08
62,ITT,1999-08-23
63,ITT,2003-03-03
64,ITT,2002-02-28
65,ITT,2002-08-29
66,LYTS,2002-09-25
67,LYTS,2003-02-10
68,LYTS,2002-10-09
69,ADT,1985-05-08
70,ADT,1986-04-11
71,ADT,1987-04-13
72,ADT,1988-09-01
73,SAIC,2000-03-21
74,PPD,2005-03-25
75,PPD,2004-02-03
76,PPD,2005-03-07
77,ESE,2003-07-08
78,SAIC,2001-01-26
79,FMC,1994-03-08
80,FMC,1998-06-02
81,FMC,2000-05-22
82,MMM,2005-10-25
83,SP,2004-06-03
84,SP,2005-06-06
85,LYTS,2002-01-22
86,LYTS,2003-12-23
87,LYTS,2003-12-23
88,LYTS,2004-12-07
89,LYTS,2003-03-26
90,LYTS,2004-12-22
91,JJSF,2003-04-01
92,USCR,2002-11-15
93,MMM,2007-08-03
94,FMC,2005-02-25
95,BP,1998-09-11
96,STE,2000-03-31
97,STE,2002-06-12
98,STE,2004-04-01
99,STE,2003-07-15
100,STE,2004-11-23
101,STE,2002-01-14
102,STE,2002-02-15
103,STE,2003-10-21
104,STE,2003-02-28
105,PCAR,1999-07-26
106,PCAR,1999-07-26
107,PCAR,2005-11-01
108,PCAR,2005-09-23
109,PCAR,2007-03-21
110,PCAR,2007-03-21
111,PCAR,2007-03-21
112,PCAR,2007-03-21
113,PCAR,2005-11-01
114,PCAR,2007-03-21
115,ABB,1999-05-12
116,ABB,1999-07-29
117,ABB,2000-12-28
118,ABB,2000-09-01
119,ABB,2001-08-17
120,ABB,2001-12-19
121,ABB,2001-09-06
122,ABB,2001-12-19
123,ABB,2001-07-31
124,PCAR,2007-11-19
125,HNI,2006-03-24
126,HNI,2006-03-24
127,HNI,2006-03-24
128,HNI,2006-03-24
129,HNI,2006-03-24
130,ECOL,1998-06-02
131,CNHI,2003-11-07
132,SAIC,1999-01-04
133,CNHI,2004-12-22
134,E,2001-04-06
135,E,2001-04-06
136,E,2002-08-23
137,E,2001-04-06
138,E,2001-04-06
139,SCPE,2003-12-30
140,SCPE,2005-11-30
141,SCPE,2006-12-12
142,SBFG,2002-10-16
143,EDOG,1991-10-16
144,EDOG,1994-10-16
145,UVE,2004-12-13
146,DDD,1992-06-30
147,DDD,1995-02-15
148,DDD,1997-09-16
149,ITT,1989-06-26
150,NXPI,2005-10-06
151,PPG,1976-08-10
152,ASML,2003-02-20
153,ASML,2005-12-13
154,ASML,2003-02-20
155,PDFS,2003-11-17
156,FLOW,2002-03-14
157,FLOW,2004-04-20
158,FLOW,2004-04-20
159,ASML,2006-07-18
160,QCOM,2006-03-23
161,QCOM,2001-02-21
162,QCOM,2003-12-11
163,QCOM,2001-06-29
164,LYTS,1999-12-16
165,QCOM,2001-08-09
166,QCOM,2001-07-12
167,QCOM,2003-05-28
168,QCOM,2004-06-21
169,QCOM,2003-09-23
170,QCOM,2002-12-05
171,FST.U,1999-08-27
172,SAIC,2000-05-23
173,QCOM,1996-06-11
174,QCOM,1999-01-28
175,QCOM,1998-08-18
176,QCOM,1998-09-04
177,QCOM,1998-10-20
178,QCOM,1998-12-09
179,QCOM,1999-05-24
180,QCOM,2001-04-10
181,QCOM,2001-11-21
182,QCOM,1998-06-26
183,QCOM,1999-11-05
184,QCOM,2001-08-06
185,QCOM,2006-04-03
186,QCOM,2004-01-28
187,QCOM,1998-06-26
188,LYTS,2001-02-09
189,LYTS,2001-02-09
190,LYTS,2003-10-09
191,LYTS,2002-06-06
192,LYTS,2002-06-06
193,QCOM,2000-02-25
194,LYTS,2003-11-14
195,LYTS,2002-05-24
196,MMM,2005-05-03
197,ECOL,1998-09-14
198,ITT,1985-04-03
199,LB,2001-08-06
200,LB,2001-08-31
201,LB,2002-01-28
202,LB,2003-01-09
203,LB,2003-09-10
204,LB,2004-06-15
205,ADCT,1995-10-27
206,NXPI,2003-06-30
207,NXPI,2007-11-21
208,NXPI,2004-06-29
209,DDD,1990-04-27
210,DDD,1992-05-06
211,DDD,1996-12-17
212,DDD,1999-04-05
213,ECOL,1978-04-28
214,AGNG,1974-06-13
215,AGNG,1974-06-13
216,AGNG,1974-06-13
217,AGNG,1975-12-22
218,AGNG,1977-09-23
219,AGNG,1978-03-15
220,AGNG,1978-08-21
221,AGNG,1978-03-15
222,AGNG,1978-08-21
223,AGNG,1978-08-21
224,AGNG,1978-08-21
225,AGNG,1980-01-14
226,NL,1974-11-18
227,KB,1985-05-28
228,KB,1988-04-27
229,KB,1990-02-12
230,KB,1995-11-02
231,KB,1997-04-01
232,LYTS,1992-07-10
233,LYTS,1993-07-01
234,LYTS,1993-07-01
235,LYTS,1994-02-17
236,LYTS,1994-06-02
237,LYTS,1994-05-11
238,LYTS,1994-08-30
239,LYTS,1994-04-22
240,LYTS,1994-12-30
241,LYTS,1995-04-22
242,LYTS,1994-12-30
243,LYTS,1994-12-30
244,LYTS,1995-06-07
245,LYTS,1996-12-16
246,LYTS,1995-12-26
247,LYTS,1995-03-31
248,LYTS,1997-08-19
249,NVDA,2002-06-27
250,NVDA,2002-08-30
251,NVDA,2002-12-12
252,NVDA,2003-08-27
253,NVDA,2002-11-05
254,NVDA,2003-08-22
255,NVDA,2005-12-16
256,NVDA,2003-05-23
257,NVDA,2002-08-29
258,NVDA,2004-09-16
259,NVDA,2004-11-17
260,NVDA,2007-12-07
261,NVDA,2007-12-07
262,NVDA,2005-08-25
263,NVDA,2006-04-05
264,NVDA,2007-12-07
265,NVDA,2007-12-10
266,NVDA,2007-12-10
267,NVDA,2005-01-06
268,NVDA,2004-07-02
269,NVDA,2005-01-06
270,NVDA,2007-12-07
271,FLOW,1999-05-28
272,LYTS,1990-10-18
273,LYTS,1996-07-01
274,LYTS,1996-05-09
275,LYTS,1997-02-14
276,ABB,1993-04-27
277,ABB,1993-04-27
278,ECOL,1992-04-30
279,JJSF,1987-09-16
280,JJSF,1999-02-05
281,FLOW,2003-04-18
282,FLOW,2003-10-31
283,ECOL,2002-11-12
284,FMC,1991-03-25
285,ACEV,2004-03-29
286,XOMA,1994-09-22
287,UVE,1996-06-07
288,UVE,1997-04-25
289,ACIU,1998-11-19
290,LYTS,2000-04-11
291,LYTS,2001-02-28
292,JJSF,2003-04-01
293,DWPP,2000-11-15
294,DWPP,2002-03-08
295,DWPP,2006-09-25
296,SGH,1992-02-19
297,RAPT,2001-03-30
298,SGH,1996-01-16
299,SGH,2000-01-25
300,SGH,2002-09-24
301,SGH,2007-04-02
302,SGH,2006-06-29
303,BP,1997-07-31
304,BP,2000-06-15
305,FLOW,2003-09-22
306,FLOW,2002-12-16
307,LYTS,1994-12-28
308,LYTS,1996-02-07
309,LYTS,1998-03-30
310,SAP,2002-12-20
311,SAP,2002-10-30
312,MMM,2000-10-27
313,ADCT,1993-10-07
314,ADCT,1993-10-08
315,ADCT,1993-06-10
316,ADCT,1993-06-11
317,ADCT,1996-06-10
318,ADCT,1994-02-04
319,ADCT,1999-09-15
320,ADCT,1996-06-28
321,ADCT,1999-09-15
322,RFIL,2005-08-23
323,PSTV,1995-05-17
324,SGH,1995-07-25
325,SGH,2003-08-15
326,FRLG,2004-09-17
327,ABB,1999-08-09
328,NVDA,2006-06-16
329,NVDA,2006-06-16
330,NVDA,2003-12-18
331,NVDA,2003-12-18
332,NVDA,2004-07-29
333,NVDA,2007-03-20
334,PCAR,2005-09-12
335,PCAR,2005-09-12
336,PCAR,2005-09-12
337,PCAR,2005-09-12
338,SCPE,2001-10-09
339,SCPE,2002-10-08
340,SCPE,2005-11-30
341,PQG,1998-08-14
342,BP,2004-12-17
343,DDD,1990-06-28
344,DDD,1992-05-06
345,DDD,1990-10-30
346,DDD,1994-04-20
347,DDD,1994-06-13
348,DDD,1995-10-31
349,DDD,1995-06-07
350,DDD,1996-12-17
351,DDD,1999-04-05
352,DDD,1998-12-18
353,SAP,2004-03-17
354,MMM,2009-06-18
355,ECOL,1994-01-25
356,USCR,1997-09-25
357,USCR,1997-12-22
358,SAIC,1998-06-03
359,MMM,2007-07-13
360,ASML,2001-01-09
361,ARKF,1994-06-06
362,LYTS,2005-11-16
363,MMM,1998-05-01
364,SAIC,2002-08-09
365,SAIC,2002-08-09
366,SAIC,1996-09-30
367,SAIC,1998-06-02
368,SAIC,1998-06-02
369,SAIC,1998-06-02
370,SAIC,1998-06-02
371,SAIC,1998-06-02
372,SAIC,2000-06-30
373,SAIC,2000-10-27
374,SAIC,2000-10-27
375,SAIC,2002-11-26
376,SAIC,2002-11-26
377,SAIC,2003-07-08
378,AGNG,2003-02-17
379,RFIL,2005-06-13
380,NVDA,2004-02-20
381,NVDA,2004-02-20
382,NVDA,2003-06-05
383,ITT,1980-04-30
384,ITT,1981-05-01
385,ASML,2005-11-10
386,EEH,2002-04-25
387,EEH,2003-06-03
388,EEH,2003-08-05
389,IACA,1997-11-20
390,IACA,1997-11-20
391,IACA,1998-09-23
392,UVE,2003-04-07
393,GSQD,2001-11-09
394,LB,1999-08-19
395,VIAO,2006-08-07
396,RES,1998-05-12
397,RES,1997-07-25
398,RES,1997-09-18
399,RES,1997-05-21
400,RES,1999-02-04
401,RES,1999-03-12
402,RES,1999-01-27
403,RES,1998-05-12
404,RES,1999-06-30
405,RES,1999-02-04
406,RES,1999-02-19
407,RES,2000-09-19
408,RES,2001-04-05
409,RES,1997-06-16
410,RES,1997-12-12
411,RES,2000-04-19
412,RES,1999-06-30
413,RES,1999-06-30
414,RES,1999-05-13
415,RES,1997-03-06
416,MTSI,2002-02-01
417,FMC,1977-01-26
418,FMC,1984-02-10
419,AGNG,1982-06-16
420,BP,2006-12-15
421,AME,1996-05-14
422,DNZ,1981-07-30
423,CGBD,1995-03-16
424,CGBD,1996-03-16
425,CGBD,1998-06-03
426,ITT,1974-12-27
427,ITT,1975-10-24
428,ITT,1976-05-10
429,ITT,1977-01-12
430,ITT,1976-11-22
431,ITT,1978-10-06
432,SGBX,1996-06-21
433,NODK,1966-01-03
434,UVE,1983-12-27
435,UVE,1977-12-16
